date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,SAC,LAC,29.67945205479452,1.0,25.25,2.0,8.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,4.0,1.0,0.0,2.0,3.0,4.0,2.3,-8.0
2015-10-30,SAC,LAL,29.684931506849313,1.0,23.783333333333335,9.0,13.0,0.692,1.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,8.0,1.0,0.0,4.0,1.0,21.0,18.6,15.0
2015-10-31,SAC,LAC,29.687671232876713,1.0,33.0,9.0,17.0,0.529,1.0,4.0,0.25,2.0,6.0,0.333,1.0,4.0,5.0,8.0,2.0,0.0,1.0,5.0,21.0,17.6,-4.0
2015-11-03,SAC,MEM,29.695890410958903,1.0,26.983333333333334,2.0,10.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,1.0,5.0,6.0,4.0,1.0,0.0,2.0,1.0,5.0,1.2,-18.0
2015-11-04,SAC,PHO,29.698630136986303,1.0,29.433333333333334,4.0,10.0,0.4,1.0,2.0,0.5,0.0,2.0,0.0,0.0,3.0,3.0,6.0,1.0,0.0,2.0,2.0,9.0,6.1,-18.0
2015-11-06,SAC,HOU,29.704109589041096,1.0,24.4,6.0,14.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,5.0,3.0,0.0,4.0,1.0,12.0,10.3,-18.0
2015-11-07,SAC,GSW,29.706849315068492,1.0,44.45,7.0,20.0,0.35,0.0,3.0,0.0,0.0,0.0,0.0,2.0,10.0,12.0,15.0,4.0,0.0,3.0,3.0,14.0,17.5,0.0
2015-11-09,SAC,SAS,29.71232876712329,1.0,48.0,4.0,10.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,12.0,3.0,0.0,9.0,3.0,8.0,5.6,-18.0
2015-11-11,SAC,DET,29.71780821917808,1.0,48.0,6.0,16.0,0.375,1.0,2.0,0.5,1.0,2.0,0.5,2.0,9.0,11.0,15.0,3.0,0.0,5.0,1.0,14.0,17.0,9.0
2015-11-13,SAC,BRK,29.723287671232878,1.0,43.81666666666667,10.0,19.0,0.526,2.0,4.0,0.5,1.0,4.0,0.25,2.0,8.0,10.0,14.0,2.0,0.0,4.0,2.0,23.0,23.3,8.0
2015-11-15,SAC,TOR,29.72876712328767,1.0,43.266666666666666,3.0,10.0,0.3,1.0,4.0,0.25,0.0,0.0,0.0,2.0,5.0,7.0,14.0,2.0,0.0,7.0,3.0,7.0,7.7,0.0
2015-11-18,SAC,ATL,29.736986301369864,1.0,31.15,6.0,9.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,12.0,10.0,1.0,0.0,7.0,1.0,12.0,13.5,-5.0
2015-11-19,SAC,MIA,29.73972602739726,1.0,40.3,6.0,13.0,0.462,2.0,3.0,0.667,0.0,0.0,0.0,2.0,7.0,9.0,18.0,1.0,0.0,3.0,5.0,14.0,19.4,3.0
2015-11-21,SAC,ORL,29.745205479452054,1.0,42.06666666666667,5.0,9.0,0.556,3.0,4.0,0.75,0.0,0.0,0.0,1.0,6.0,7.0,9.0,3.0,0.0,1.0,2.0,13.0,18.7,0.0
2015-11-23,SAC,CHO,29.75068493150685,1.0,46.36666666666667,6.0,12.0,0.5,1.0,4.0,0.25,1.0,2.0,0.5,3.0,5.0,8.0,20.0,4.0,1.0,6.0,3.0,14.0,22.7,-11.0
2015-11-25,SAC,MIL,29.756164383561643,1.0,38.53333333333333,5.0,10.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,13.0,0.0,1.0,4.0,2.0,10.0,12.7,0.0
2015-11-27,SAC,MIN,29.76164383561644,1.0,36.03333333333333,7.0,16.0,0.438,1.0,2.0,0.5,1.0,2.0,0.5,1.0,3.0,4.0,16.0,0.0,0.0,0.0,3.0,16.0,18.8,0.0
2015-11-28,SAC,GSW,29.764383561643836,1.0,24.783333333333335,3.0,10.0,0.3,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,7.0,0.0,0.0,3.0,4.0,7.0,3.1,0.0
2015-11-30,SAC,DAL,29.76986301369863,1.0,29.75,6.0,14.0,0.429,2.0,6.0,0.333,7.0,14.0,0.5,1.0,2.0,3.0,5.0,0.0,0.0,2.0,0.0,21.0,13.6,0.0
2015-12-03,SAC,BOS,29.778082191780822,1.0,23.966666666666665,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,2.0,0.0,4.0,1.0,5.0,5.7,0.0
2015-12-05,SAC,HOU,29.783561643835615,1.0,36.05,6.0,12.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,19.0,4.0,0.0,4.0,0.0,13.0,22.0,0.0
2015-12-06,SAC,OKC,29.786301369863015,1.0,35.75,3.0,9.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,2.0,7.0,9.0,10.0,3.0,0.0,1.0,3.0,7.0,12.8,0.0
2015-12-08,SAC,UTA,29.791780821917808,1.0,37.46666666666667,5.0,8.0,0.625,1.0,2.0,0.5,6.0,7.0,0.857,1.0,6.0,7.0,13.0,2.0,0.0,6.0,0.0,17.0,20.6,0.0
2015-12-10,SAC,NYK,29.797260273972604,1.0,40.25,7.0,10.0,0.7,1.0,2.0,0.5,1.0,1.0,1.0,2.0,7.0,9.0,12.0,2.0,0.0,3.0,3.0,16.0,21.5,0.0
2015-12-18,SAC,MIN,29.81917808219178,1.0,35.95,4.0,8.0,0.5,0.0,1.0,0.0,3.0,4.0,0.75,1.0,3.0,4.0,13.0,3.0,0.0,2.0,5.0,11.0,16.3,0.0
