date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,CLE,CHI,35.35068493150685,0.0,16.95,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,10.0,6.2,-3.0
2015-10-28,CLE,MEM,35.35342465753425,0.0,18.333333333333332,5.0,6.0,0.833,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,14.0,9.5,19.0
2015-10-30,CLE,MIA,35.35890410958904,0.0,24.383333333333333,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,-1.5,9.0
2015-11-02,CLE,PHI,35.367123287671234,0.0,21.716666666666665,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,4.5,-5.0
2015-11-04,CLE,NYK,35.37260273972603,1.0,35.28333333333333,2.0,6.0,0.333,1.0,5.0,0.2,4.0,6.0,0.667,0.0,4.0,4.0,3.0,0.0,0.0,1.0,2.0,9.0,6.3,0.0
2015-11-06,CLE,PHI,35.37808219178082,0.0,29.066666666666666,7.0,11.0,0.636,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,17.0,10.6,-9.0
2015-11-08,CLE,IND,35.38356164383562,1.0,30.25,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,5.0,2.4,-6.0
2015-11-10,CLE,UTA,35.38904109589041,0.0,25.716666666666665,2.0,6.0,0.333,0.0,3.0,0.0,3.0,6.0,0.5,0.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,7.0,4.2,2.0
2015-11-13,CLE,NYK,35.397260273972606,0.0,19.2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,-1.3,-6.0
2015-11-14,CLE,MIL,35.4,0.0,39.06666666666667,5.0,10.0,0.5,3.0,6.0,0.5,1.0,3.0,0.333,1.0,2.0,3.0,0.0,1.0,0.0,1.0,4.0,14.0,7.9,-1.0
2015-11-17,CLE,DET,35.40821917808219,0.0,16.466666666666665,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.5,8.0
2015-11-19,CLE,MIL,35.413698630136984,0.0,16.3,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,-0.9,4.0
2015-11-21,CLE,ATL,35.41917808219178,0.0,23.816666666666666,4.0,6.0,0.667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,8.0,6.7,0.0
2015-11-23,CLE,ORL,35.42465753424658,0.0,19.083333333333332,3.0,5.0,0.6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,7.0,5.0,-14.0
2015-11-25,CLE,TOR,35.43013698630137,0.0,16.35,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.5,0.0
2015-11-27,CLE,CHO,35.43561643835616,0.0,30.2,4.0,8.0,0.5,2.0,5.0,0.4,3.0,6.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,13.0,7.0,0.0
2015-11-28,CLE,BRK,35.43835616438356,0.0,17.533333333333335,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
2015-12-01,CLE,WAS,35.446575342465756,0.0,17.85,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,5.0,5.3,0.0
2015-12-04,CLE,NOP,35.45479452054794,0.0,14.216666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,4.0,0.0,1.7,0.0
2015-12-05,CLE,MIA,35.45753424657534,1.0,38.38333333333333,6.0,18.0,0.333,0.0,7.0,0.0,4.0,9.0,0.444,0.0,3.0,3.0,2.0,1.0,0.0,1.0,2.0,16.0,5.3,0.0
2015-12-08,CLE,POR,35.465753424657535,0.0,19.666666666666668,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,4.6,0.0
2015-12-11,CLE,ORL,35.47397260273973,0.0,12.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,3.0,1.0,3.0,2.2,0.0
2015-12-15,CLE,BOS,35.484931506849314,0.0,20.566666666666666,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,3.7,0.0
2015-12-17,CLE,OKC,35.49041095890411,0.0,31.683333333333334,5.0,9.0,0.556,3.0,6.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,13.0,8.2,9.0
