date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,PHI,BOS,22.035616438356165,0.0,6.083333333333333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,1.9,-4.0
2015-10-30,PHI,UTA,22.041095890410958,0.0,6.183333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.3,2.0
2015-11-02,PHI,CLE,22.04931506849315,0.0,11.216666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,3.9,14.0
2015-11-04,PHI,MIL,22.054794520547944,0.0,19.25,2.0,6.0,0.333,0.0,2.0,0.0,3.0,4.0,0.75,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,7.0,3.4,-19.0
2015-11-06,PHI,CLE,22.06027397260274,0.0,12.1,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,2.3,8.0
2015-11-07,PHI,ORL,22.063013698630137,0.0,18.2,4.0,5.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,0.0,1.0,0.0,3.0,8.0,10.1,1.0
2015-11-09,PHI,CHI,22.068493150684933,1.0,27.633333333333333,4.0,9.0,0.444,0.0,3.0,0.0,3.0,5.0,0.6,2.0,1.0,3.0,1.0,0.0,2.0,1.0,3.0,11.0,7.1,5.0
2015-11-27,PHI,HOU,22.117808219178084,0.0,9.933333333333334,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0
2015-11-29,PHI,MEM,22.123287671232877,0.0,14.983333333333333,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,-1.7,0.0
2015-12-02,PHI,NYK,22.13150684931507,0.0,18.116666666666667,4.0,6.0,0.667,0.0,1.0,0.0,3.0,4.0,0.75,2.0,1.0,3.0,0.0,0.0,2.0,0.0,4.0,11.0,9.5,0.0
2015-12-05,PHI,DEN,22.13972602739726,0.0,14.283333333333333,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,3.0,10.0,10.3,0.0
2015-12-07,PHI,SAS,22.145205479452056,0.0,20.583333333333332,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,4.0,2.0,-4.1,0.0
2015-12-10,PHI,BRK,22.153424657534245,0.0,16.983333333333334,5.0,6.0,0.833,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,14.0,12.0,0.0
2015-12-11,PHI,DET,22.156164383561645,0.0,3.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.7,0.0
2015-12-13,PHI,TOR,22.161643835616438,0.0,5.816666666666666,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6,0.0
2015-12-14,PHI,CHI,22.164383561643834,0.0,13.516666666666667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,4.0,3.9,0.0
2015-12-16,PHI,ATL,22.16986301369863,0.0,27.233333333333334,5.0,8.0,0.625,1.0,2.0,0.5,1.0,1.0,1.0,4.0,3.0,7.0,3.0,1.0,2.0,1.0,2.0,12.0,14.8,4.0
2015-12-18,PHI,NYK,22.175342465753424,0.0,18.416666666666668,5.0,7.0,0.714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,10.0,7.6,0.0
