date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,IND,TOR,29.52054794520548,0.0,24.2,5.0,13.0,0.385,0.0,1.0,0.0,6.0,6.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,2.0,16.0,9.7,0.0
2015-10-29,IND,MEM,29.523287671232875,0.0,25.516666666666666,4.0,6.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,5.0,1.0,1.0,3.0,0.0,9.0,9.4,4.0
2015-10-31,IND,UTA,29.528767123287672,0.0,22.683333333333334,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,1.5,-4.0
2015-11-03,IND,DET,29.536986301369865,0.0,26.266666666666666,9.0,14.0,0.643,0.0,1.0,0.0,5.0,6.0,0.833,0.0,4.0,4.0,2.0,1.0,0.0,2.0,2.0,23.0,17.2,16.0
2015-11-04,IND,BOS,29.53972602739726,0.0,27.033333333333335,3.0,10.0,0.3,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,3.0,7.0,1.3,-3.0
2015-11-06,IND,MIA,29.545205479452054,0.0,10.4,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,-12.0
2015-11-09,IND,ORL,29.553424657534247,0.0,17.816666666666666,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,6.0,7.3,-2.0
2015-11-21,IND,MIL,29.586301369863016,0.0,21.966666666666665,3.0,9.0,0.333,0.0,2.0,0.0,1.0,4.0,0.25,0.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,7.0,5.1,0.0
2015-11-24,IND,WAS,29.594520547945205,0.0,23.45,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,1.0,5.0,0.9,-6.0
2015-11-27,IND,CHI,29.602739726027398,0.0,28.25,2.0,6.0,0.333,1.0,1.0,1.0,3.0,4.0,0.75,0.0,3.0,3.0,0.0,2.0,0.0,3.0,4.0,8.0,2.5,0.0
2015-11-29,IND,LAL,29.60821917808219,0.0,27.15,3.0,11.0,0.273,0.0,1.0,0.0,5.0,5.0,1.0,1.0,6.0,7.0,2.0,0.0,0.0,2.0,1.0,11.0,6.0,0.0
2015-12-02,IND,LAC,29.616438356164384,0.0,32.25,6.0,13.0,0.462,0.0,2.0,0.0,6.0,6.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,2.0,18.0,14.4,0.0
2015-12-03,IND,POR,29.61917808219178,0.0,31.166666666666668,4.0,11.0,0.364,1.0,3.0,0.333,8.0,8.0,1.0,2.0,3.0,5.0,6.0,3.0,0.0,1.0,0.0,17.0,19.4,0.0
2015-12-05,IND,UTA,29.624657534246577,0.0,32.36666666666667,8.0,14.0,0.571,1.0,3.0,0.333,6.0,7.0,0.857,2.0,1.0,3.0,3.0,0.0,0.0,2.0,3.0,23.0,16.6,0.0
2015-12-08,IND,GSW,29.632876712328766,0.0,20.2,1.0,5.0,0.2,0.0,2.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,5.0,3.3,0.0
2015-12-11,IND,MIA,29.64109589041096,0.0,28.6,2.0,9.0,0.222,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,6.0,0.1,0.0
2015-12-12,IND,DET,29.643835616438356,0.0,23.083333333333332,5.0,8.0,0.625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,10.0,5.9,0.0
2015-12-14,IND,TOR,29.649315068493152,0.0,26.95,5.0,9.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,10.0,8.3,0.0
2015-12-16,IND,DAL,29.654794520547945,0.0,26.266666666666666,5.0,11.0,0.455,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,7.0,2.0,0.0,1.0,3.0,12.0,11.9,15.0
2015-12-18,IND,BRK,29.660273972602738,0.0,25.733333333333334,5.0,11.0,0.455,0.0,1.0,0.0,5.0,7.0,0.714,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,15.0,12.1,0.0
