date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,BRK,CHI,20.816438356164383,0.0,24.25,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,1.0,1.0,0.0,8.0,8.6,17.0
2015-10-30,BRK,SAS,20.82191780821918,0.0,26.15,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,3.0,1.0,10.0,6.3,-2.0
2015-10-31,BRK,MEM,20.824657534246576,0.0,12.933333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.2,-5.0
2015-11-02,BRK,MIL,20.83013698630137,0.0,4.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,1.0
2015-11-04,BRK,ATL,20.835616438356166,0.0,11.416666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.2,12.0
2015-11-06,BRK,LAL,20.84109589041096,1.0,25.366666666666667,2.0,3.0,0.667,0.0,0.0,0.0,1.0,4.0,0.25,4.0,7.0,11.0,3.0,1.0,0.0,2.0,5.0,5.0,6.5,9.0
2015-11-07,BRK,MIL,20.843835616438355,1.0,23.5,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,4.0,3.0,7.0,5.0,3.0,0.0,0.0,2.0,2.0,9.2,-12.0
2015-11-11,BRK,HOU,20.854794520547944,1.0,12.166666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,0.0,-0.4,-2.0
2015-11-13,BRK,SAC,20.86027397260274,1.0,16.8,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,0.0,1.0,3.0,4.0,3.7,0.0
2015-11-14,BRK,GSW,20.863013698630137,1.0,31.9,3.0,6.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,4.0,9.0,13.0,2.0,2.0,1.0,1.0,1.0,7.0,11.8,5.0
2015-11-17,BRK,ATL,20.87123287671233,1.0,23.216666666666665,3.0,5.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,7.0,6.3,4.0
2015-11-18,BRK,CHO,20.873972602739727,1.0,24.566666666666666,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,5.0,2.3,-9.0
2015-11-20,BRK,BOS,20.87945205479452,1.0,31.383333333333333,5.0,12.0,0.417,1.0,4.0,0.25,2.0,3.0,0.667,4.0,7.0,11.0,2.0,3.0,0.0,5.0,2.0,13.0,9.7,-16.0
2015-11-22,BRK,BOS,20.884931506849316,1.0,30.616666666666667,2.0,3.0,0.667,0.0,0.0,0.0,5.0,6.0,0.833,3.0,4.0,7.0,4.0,5.0,1.0,1.0,5.0,9.0,16.1,7.0
2015-11-25,BRK,OKC,20.893150684931506,1.0,28.383333333333333,4.0,7.0,0.571,0.0,0.0,0.0,3.0,3.0,1.0,2.0,9.0,11.0,1.0,0.0,0.0,0.0,3.0,11.0,11.3,0.0
2015-11-28,BRK,CLE,20.9013698630137,1.0,29.75,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.0,7.0,10.0,1.0,5.0,1.0,0.0,3.0,6.0,13.4,0.0
2015-11-29,BRK,DET,20.904109589041095,1.0,21.333333333333332,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,1.1,0.0
2015-12-01,BRK,PHO,20.90958904109589,1.0,22.766666666666666,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,1.0,0.0,0.0,2.0,5.0,8.0,6.3,-4.0
2015-12-04,BRK,NYK,20.91780821917808,1.0,17.766666666666666,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.4,0.0
