date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,PHO,DAL,32.35342465753425,0.0,11.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-3.5,6.0
2015-10-30,PHO,POR,32.35890410958904,0.0,10.5,1.0,3.0,0.333,0.0,2.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,6.0,7.9,7.0
2015-10-31,PHO,POR,32.36164383561644,0.0,16.933333333333334,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,6.4,-5.0
2015-11-02,PHO,LAC,32.367123287671234,0.0,16.466666666666665,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,9.0,6.8,3.0
2015-11-04,PHO,SAC,32.37260273972603,0.0,17.0,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,6.0,6.3,10.0
2015-11-06,PHO,DET,32.37808219178082,0.0,12.3,2.0,6.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,6.0,3.4,-12.0
2015-11-08,PHO,OKC,32.38356164383562,0.0,6.183333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.6,-5.0
2015-11-12,PHO,LAC,32.394520547945206,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,-1.3,-4.0
2015-11-18,PHO,CHI,32.41095890410959,0.0,10.85,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,3.9,-1.0
2015-11-20,PHO,DEN,32.416438356164385,0.0,20.1,3.0,5.0,0.6,3.0,5.0,0.6,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,10.0,8.5,0.0
2015-11-22,PHO,NOP,32.42191780821918,0.0,5.816666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,3.0
2015-11-23,PHO,SAS,32.42465753424658,0.0,20.4,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,3.0,2.0,0.2,6.0
2015-11-25,PHO,NOP,32.43013698630137,0.0,7.183333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,3.3,0.0
2015-11-27,PHO,GSW,32.43561643835616,0.0,10.45,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,4.0,2.1,0.0
2015-11-29,PHO,TOR,32.441095890410956,0.0,21.7,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,-1.4,0.0
2015-12-01,PHO,BRK,32.446575342465756,0.0,13.183333333333334,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.9,-10.0
2015-12-02,PHO,DET,32.44931506849315,0.0,6.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0
2015-12-04,PHO,WAS,32.45479452054794,0.0,19.016666666666666,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,6.0,5.5,0.0
2015-12-06,PHO,MEM,32.46027397260274,0.0,8.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,1.5,0.0
2015-12-07,PHO,CHI,32.463013698630135,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-09,PHO,ORL,32.46849315068493,0.0,11.1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.1,0.0
2015-12-11,PHO,POR,32.47397260273973,0.0,21.316666666666666,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,6.0,5.3,0.0
2015-12-13,PHO,MIN,32.47945205479452,0.0,10.816666666666666,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,3.0,5.0,5.5,0.0
2015-12-14,PHO,DAL,32.48219178082192,0.0,17.033333333333335,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5,0.0
2015-12-16,PHO,GSW,32.487671232876714,0.0,15.116666666666667,1.0,6.0,0.167,1.0,3.0,0.333,6.0,6.0,1.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,9.0,10.1,-4.0
2015-12-18,PHO,NOP,32.49315068493151,0.0,17.766666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,-0.2,0.0
