date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,SAC,LAC,29.197260273972603,1.0,31.35,7.0,16.0,0.438,1.0,3.0,0.333,1.0,2.0,0.5,1.0,5.0,6.0,3.0,0.0,0.0,2.0,2.0,16.0,8.7,-2.0
2015-10-30,SAC,LAL,29.202739726027396,1.0,31.35,8.0,12.0,0.667,2.0,3.0,0.667,1.0,2.0,0.5,1.0,5.0,6.0,3.0,2.0,0.0,0.0,1.0,19.0,19.3,28.0
2015-10-31,SAC,LAC,29.205479452054796,1.0,31.05,8.0,23.0,0.348,2.0,5.0,0.4,2.0,2.0,1.0,5.0,4.0,9.0,2.0,2.0,0.0,3.0,4.0,20.0,10.6,-4.0
2015-11-03,SAC,MEM,29.213698630136985,1.0,32.0,7.0,17.0,0.412,1.0,4.0,0.25,4.0,4.0,1.0,1.0,4.0,5.0,3.0,1.0,0.0,2.0,3.0,19.0,11.7,-12.0
2015-11-04,SAC,PHO,29.216438356164385,1.0,30.25,4.0,13.0,0.308,0.0,1.0,0.0,1.0,2.0,0.5,2.0,6.0,8.0,3.0,2.0,1.0,1.0,5.0,9.0,6.1,-5.0
2015-11-06,SAC,HOU,29.221917808219178,1.0,25.65,5.0,15.0,0.333,1.0,2.0,0.5,4.0,6.0,0.667,1.0,4.0,5.0,2.0,1.0,0.0,2.0,4.0,15.0,6.4,-23.0
2015-11-07,SAC,GSW,29.224657534246575,1.0,34.4,10.0,25.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,2.0,5.0,7.0,1.0,1.0,0.0,4.0,2.0,22.0,8.3,-10.0
2015-11-09,SAC,SAS,29.23013698630137,1.0,32.13333333333333,5.0,15.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,4.0,0.0,1.0,2.0,4.0,10.0,4.1,-31.0
2015-11-11,SAC,DET,29.235616438356164,1.0,39.36666666666667,10.0,14.0,0.714,1.0,2.0,0.5,4.0,5.0,0.8,0.0,6.0,6.0,3.0,1.0,0.0,2.0,2.0,25.0,20.9,17.0
2015-11-15,SAC,TOR,29.246575342465754,1.0,37.2,10.0,16.0,0.625,1.0,3.0,0.333,6.0,7.0,0.857,1.0,5.0,6.0,3.0,1.0,0.0,4.0,0.0,27.0,20.7,0.0
2015-11-18,SAC,ATL,29.254794520547946,1.0,29.333333333333332,5.0,13.0,0.385,0.0,1.0,0.0,4.0,4.0,1.0,2.0,4.0,6.0,3.0,2.0,0.0,2.0,3.0,14.0,10.4,0.0
2015-11-19,SAC,MIA,29.257534246575343,1.0,24.716666666666665,6.0,13.0,0.462,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,12.0,2.0,1.0,0.0,1.0,3.0,13.0,10.9,1.0
2015-11-23,SAC,CHO,29.268493150684932,1.0,42.03333333333333,13.0,21.0,0.619,2.0,4.0,0.5,0.0,1.0,0.0,1.0,9.0,10.0,0.0,1.0,0.0,3.0,4.0,28.0,17.9,-2.0
