date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MIN,LAL,22.956164383561642,0.0,18.916666666666668,3.0,5.0,0.6,1.0,2.0,0.5,3.0,4.0,0.75,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,6.2,-7.0
2015-10-30,MIN,DEN,22.96164383561644,0.0,16.183333333333334,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,-3.0,1.0
2015-11-02,MIN,POR,22.96986301369863,0.0,17.366666666666667,2.0,5.0,0.4,0.0,0.0,0.0,5.0,6.0,0.833,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,9.0,7.7,-3.0
2015-11-05,MIN,MIA,22.97808219178082,0.0,22.633333333333333,5.0,10.0,0.5,0.0,1.0,0.0,4.0,5.0,0.8,4.0,2.0,6.0,1.0,0.0,1.0,1.0,2.0,14.0,11.6,6.0
2015-11-07,MIN,CHI,22.983561643835618,0.0,21.283333333333335,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,4.0,-0.3,-15.0
2015-11-09,MIN,ATL,22.98904109589041,0.0,10.35,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,3.4,1.0
2015-11-10,MIN,CHO,22.991780821917807,0.0,14.216666666666667,2.0,4.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.5,-22.0
2015-11-12,MIN,GSW,22.997260273972604,0.0,19.2,6.0,8.0,0.75,0.0,1.0,0.0,4.0,5.0,0.8,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,16.0,13.6,8.0
2015-11-13,MIN,IND,23.0,0.0,18.633333333333333,4.0,8.0,0.5,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,9.0,4.9,0.0
2015-11-15,MIN,MEM,23.005479452054793,0.0,16.55,4.0,8.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,5.0,0.0
