date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,BRK,CHI,23.07123287671233,1.0,23.216666666666665,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,2.0,3.0,6.0,7.7,-3.0
2015-10-30,BRK,SAS,23.076712328767123,0.0,16.433333333333334,3.0,5.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,7.0,6.8,1.0
2015-10-31,BRK,MEM,23.07945205479452,0.0,12.633333333333333,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.2,-5.0
2015-11-02,BRK,MIL,23.084931506849315,0.0,18.116666666666667,5.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,10.0,8.3,-10.0
2015-11-04,BRK,ATL,23.09041095890411,0.0,16.516666666666666,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,4.0,-0.5,-8.0
2015-11-06,BRK,LAL,23.095890410958905,0.0,10.416666666666666,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,-3.0,-13.0
2015-11-07,BRK,MIL,23.0986301369863,0.0,18.283333333333335,2.0,7.0,0.286,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,3.0,0.0,1.0,3.0,6.0,5.0,7.0
2015-11-11,BRK,HOU,23.10958904109589,0.0,22.616666666666667,6.0,10.0,0.6,3.0,4.0,0.75,0.0,0.0,0.0,1.0,7.0,8.0,2.0,0.0,0.0,1.0,0.0,15.0,13.6,27.0
2015-11-13,BRK,SAC,23.115068493150684,0.0,14.95,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,8.0,8.3,-3.0
2015-11-14,BRK,GSW,23.117808219178084,0.0,10.983333333333333,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.6,-5.0
2015-11-17,BRK,ATL,23.126027397260273,0.0,13.566666666666666,5.0,11.0,0.455,4.0,6.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,14.0,10.2,-2.0
2015-11-18,BRK,CHO,23.12876712328767,0.0,19.883333333333333,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,1.0,0.0,1.0,3.0,6.0,7.7,-5.0
2015-11-20,BRK,BOS,23.134246575342466,0.0,29.683333333333334,4.0,8.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,1.0,2.0,3.0,3.0,4.0,0.0,2.0,0.0,10.0,11.0,-6.0
2015-11-22,BRK,BOS,23.13972602739726,0.0,17.833333333333332,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,7.0,6.1,4.0
2015-11-25,BRK,OKC,23.147945205479452,0.0,25.483333333333334,4.0,7.0,0.571,2.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,6.0,1.0,0.0,2.0,2.0,10.0,9.9,0.0
2015-11-28,BRK,CLE,23.156164383561645,0.0,12.6,2.0,5.0,0.4,0.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,7.0,4.3,0.0
2015-11-29,BRK,DET,23.15890410958904,0.0,21.383333333333333,4.0,10.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,9.0,5.2,0.0
2015-12-01,BRK,PHO,23.164383561643834,0.0,30.283333333333335,5.0,9.0,0.556,1.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,8.0,2.0,1.0,0.0,3.0,11.0,15.3,13.0
2015-12-04,BRK,NYK,23.172602739726027,0.0,22.6,3.0,8.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,6.0,7.4,0.0
2015-12-06,BRK,GSW,23.17808219178082,0.0,27.766666666666666,5.0,9.0,0.556,1.0,2.0,0.5,2.0,3.0,0.667,0.0,1.0,1.0,6.0,4.0,0.0,0.0,2.0,13.0,16.0,0.0
