date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,GSW,NOP,30.126027397260273,0.0,21.333333333333332,3.0,6.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,6.0,5.9,12.0
2015-10-30,GSW,HOU,30.134246575342466,0.0,19.983333333333334,0.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.8,11.0
2015-10-31,GSW,NOP,30.136986301369863,0.0,21.833333333333332,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,2.0,1.5,5.0
2015-11-02,GSW,MEM,30.14246575342466,0.0,10.316666666666666,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,6.1,5.0
2015-11-04,GSW,LAC,30.147945205479452,0.0,17.316666666666666,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,4.0,4.0,1.1,-9.0
2015-11-06,GSW,DEN,30.153424657534245,0.0,18.566666666666666,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,1.0,3.0,2.0,2.0,1.3,6.0
2015-11-07,GSW,SAC,30.156164383561645,0.0,18.033333333333335,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,6.0,5.3,10.0
2015-11-09,GSW,DET,30.161643835616438,0.0,19.35,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,4.0,3.6,2.0
2015-11-11,GSW,MEM,30.167123287671235,0.0,22.75,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,6.0,7.1,14.0
2015-11-12,GSW,MIN,30.16986301369863,0.0,22.383333333333333,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,8.0,6.9,-11.0
