date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,CHO,MIA,27.5013698630137,0.0,18.316666666666666,3.0,5.0,0.6,0.0,1.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,4.4,-13.0
2015-10-30,CHO,ATL,27.506849315068493,0.0,17.85,4.0,6.0,0.667,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,4.0,4.0,2.0,0.0,2.0,5.0,8.0,6.6,-11.0
2015-11-01,CHO,ATL,27.512328767123286,0.0,18.4,1.0,8.0,0.125,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,-1.1,0.0
2015-11-03,CHO,CHI,27.517808219178082,0.0,19.583333333333332,5.0,6.0,0.833,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,13.0,11.7,25.0
2015-11-05,CHO,DAL,27.523287671232875,0.0,18.4,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,1.0,2.0,3.0,0.0,-2.0,8.0
2015-11-07,CHO,SAS,27.528767123287672,0.0,13.916666666666666,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,0.9,-28.0
2015-11-10,CHO,MIN,27.536986301369865,0.0,19.05,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,-1.0,22.0
2015-11-11,CHO,NYK,27.53972602739726,0.0,19.133333333333333,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,3.3,11.0
2015-11-13,CHO,CHI,27.545205479452054,0.0,17.283333333333335,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,0.4,-17.0
2015-11-15,CHO,POR,27.55068493150685,0.0,17.55,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,2.0,2.0,2.9,0.0
2015-11-17,CHO,NYK,27.556164383561644,0.0,17.4,4.0,10.0,0.4,2.0,4.0,0.5,4.0,4.0,1.0,3.0,2.0,5.0,1.0,0.0,1.0,1.0,2.0,14.0,10.9,5.0
