date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,ATL,DET,31.487671232876714,0.0,18.933333333333334,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,3.0,4.0,0.0,0.0,1.0,2.0,8.5,1.0
2015-10-30,ATL,CHO,31.495890410958904,0.0,20.916666666666668,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,6.0,3.0,2.0,0.0,1.0,1.0,4.0,6.1,15.0
2015-11-01,ATL,CHO,31.5013698630137,0.0,17.6,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0,1.0,5.0,2.9,-1.0
2015-11-04,ATL,BRK,31.50958904109589,0.0,21.666666666666668,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,6.0,7.6,10.0
2015-11-07,ATL,WAS,31.517808219178082,0.0,20.4,4.0,5.0,0.8,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,0.0,2.0,1.0,2.0,2.0,10.0,9.9,8.0
2015-11-09,ATL,MIN,31.523287671232875,0.0,16.733333333333334,4.0,5.0,0.8,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,10.0,10.7,-4.0
2015-11-11,ATL,NOP,31.528767123287672,0.0,24.216666666666665,2.0,3.0,0.667,1.0,1.0,1.0,2.0,4.0,0.5,2.0,3.0,5.0,2.0,1.0,1.0,1.0,0.0,7.0,9.3,-6.0
2015-11-13,ATL,BOS,31.534246575342465,0.0,21.4,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,10.0,9.3,4.0
2015-11-15,ATL,UTA,31.53972602739726,0.0,23.066666666666666,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.0,5.0,6.0,0.0,1.0,2.0,3.0,2.0,5.0,2.4,0.0
2015-11-17,ATL,BRK,31.545205479452054,0.0,29.816666666666666,3.0,9.0,0.333,1.0,5.0,0.2,1.0,2.0,0.5,0.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0,8.0,4.6,-8.0
2015-11-18,ATL,SAC,31.54794520547945,0.0,21.316666666666666,0.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,4.5,2.0
2015-11-21,ATL,CLE,31.556164383561644,1.0,29.733333333333334,6.0,12.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,2.0,13.0,9.8,0.0
2015-11-24,ATL,BOS,31.564383561643837,1.0,26.116666666666667,7.0,8.0,0.875,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,7.0,3.0,3.0,3.0,1.0,3.0,15.0,19.7,18.0
2015-11-25,ATL,MIN,31.567123287671233,1.0,31.516666666666666,4.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,2.0,10.0,9.5,0.0
2015-11-28,ATL,SAS,31.575342465753426,1.0,24.7,3.0,5.0,0.6,1.0,3.0,0.333,1.0,2.0,0.5,0.0,4.0,4.0,0.0,1.0,0.0,2.0,4.0,8.0,3.9,0.0
2015-11-30,ATL,OKC,31.58082191780822,1.0,38.53333333333333,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,4.0,0.0,1.0,3.0,0.0,4.9,0.0
2015-12-02,ATL,TOR,31.586301369863016,1.0,33.31666666666667,6.0,12.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,1.0,4.0,5.0,1.0,2.0,2.0,0.0,0.0,13.0,13.0,0.0
2015-12-04,ATL,LAL,31.59178082191781,1.0,31.716666666666665,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,8.0,5.6,0.0
2015-12-09,ATL,DAL,31.605479452054794,1.0,25.616666666666667,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,0.0,1.0,7.0,7.5,0.0
2015-12-10,ATL,OKC,31.60821917808219,1.0,34.85,5.0,8.0,0.625,0.0,2.0,0.0,1.0,4.0,0.25,1.0,2.0,3.0,1.0,4.0,0.0,2.0,1.0,11.0,9.8,0.0
2015-12-12,ATL,SAS,31.613698630136987,1.0,19.866666666666667,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,5.0,3.0,0.0
2015-12-14,ATL,MIA,31.61917808219178,0.0,9.4,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,-6.2,0.0
2015-12-16,ATL,PHI,31.624657534246577,0.0,22.133333333333333,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,1.9,1.0
2015-12-18,ATL,BOS,31.63013698630137,0.0,18.833333333333332,5.0,7.0,0.714,1.0,2.0,0.5,0.0,0.0,0.0,3.0,5.0,8.0,1.0,0.0,0.0,0.0,1.0,11.0,12.0,0.0
