date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,CLE,CHI,29.28219178082192,1.0,20.9,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,2.0,0.0,2.0,3.0,2.0,5.0,2.5,-1.0
2015-10-28,CLE,MEM,29.284931506849315,1.0,25.066666666666666,4.0,8.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,9.0,3.8,3.0
2015-10-30,CLE,MIA,29.29041095890411,1.0,18.066666666666666,4.0,6.0,0.667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,0.0,1.0,1.0,2.0,9.0,7.2,0.0
2015-11-02,CLE,PHI,29.2986301369863,1.0,22.1,2.0,7.0,0.286,0.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,7.0,1.0,0.0,4.0,2.0,2.0,6.0,5.9,2.0
2015-11-04,CLE,NYK,29.304109589041097,1.0,21.916666666666668,3.0,6.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,10.0,8.9,-8.0
2015-11-06,CLE,PHI,29.30958904109589,1.0,18.85,6.0,7.0,0.857,0.0,0.0,0.0,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,0.0,1.0,2.0,13.0,10.9,12.0
2015-11-08,CLE,IND,29.315068493150687,1.0,22.966666666666665,2.0,5.0,0.4,1.0,2.0,0.5,4.0,5.0,0.8,2.0,4.0,6.0,0.0,0.0,1.0,0.0,3.0,9.0,8.0,-12.0
2015-11-10,CLE,UTA,29.32054794520548,1.0,19.033333333333335,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,1.4,-3.0
2015-11-13,CLE,NYK,29.328767123287673,1.0,26.633333333333333,4.0,5.0,0.8,0.0,0.0,0.0,3.0,5.0,0.6,1.0,6.0,7.0,0.0,1.0,0.0,1.0,1.0,11.0,10.4,-1.0
2015-11-14,CLE,MIL,29.33150684931507,1.0,15.616666666666667,1.0,5.0,0.2,0.0,0.0,0.0,6.0,6.0,1.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0,3.0,8.0,7.8,-3.0
2015-11-17,CLE,DET,29.339726027397262,1.0,27.5,4.0,6.0,0.667,0.0,0.0,0.0,2.0,4.0,0.5,1.0,5.0,6.0,1.0,2.0,1.0,2.0,2.0,10.0,9.4,0.0
2015-11-19,CLE,MIL,29.345205479452055,1.0,11.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-0.8,12.0
2015-11-27,CLE,CHO,29.367123287671234,1.0,18.416666666666668,3.0,9.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,8.0,2.2,0.0
2015-11-28,CLE,BRK,29.36986301369863,1.0,17.266666666666666,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,2.0,1.0,3.0,3.0,2.0,0.4,0.0
2015-12-01,CLE,WAS,29.378082191780823,1.0,8.916666666666666,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,-5.9,0.0
2015-12-04,CLE,NOP,29.386301369863013,1.0,16.616666666666667,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,8.0,5.6,0.0
2015-12-05,CLE,MIA,29.389041095890413,1.0,21.266666666666666,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,1.0,1.0,8.0,7.2,0.0
2015-12-08,CLE,POR,29.397260273972602,1.0,7.016666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-11,CLE,ORL,29.405479452054795,1.0,19.7,8.0,9.0,0.889,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,3.0,17.0,13.4,0.0
2015-12-15,CLE,BOS,29.416438356164385,1.0,24.133333333333333,4.0,5.0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,10.0,10.0,0.0,0.0,3.0,0.0,1.0,9.0,11.8,0.0
2015-12-17,CLE,OKC,29.421917808219177,1.0,20.85,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,2.6,-1.0
