date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-31,NOP,GSW,29.627397260273973,0.0,22.816666666666666,7.0,12.0,0.583,1.0,1.0,1.0,2.0,3.0,0.667,1.0,2.0,3.0,4.0,1.0,0.0,3.0,3.0,17.0,11.9,-6.0
2015-11-03,NOP,ORL,29.635616438356166,0.0,19.533333333333335,4.0,6.0,0.667,0.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,4.0,2.0,0.0,2.0,5.0,9.0,9.8,-11.0
2015-11-06,NOP,ATL,29.643835616438356,0.0,8.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.3,-3.0
2015-11-07,NOP,DAL,29.646575342465752,0.0,27.633333333333333,4.0,10.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,4.0,11.0,8.4,-17.0
2015-11-10,NOP,DAL,29.654794520547945,0.0,25.35,5.0,8.0,0.625,5.0,7.0,0.714,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,17.0,10.8,4.0
2015-11-11,NOP,ATL,29.65753424657534,0.0,24.283333333333335,4.0,11.0,0.364,3.0,7.0,0.429,1.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,3.0,1.0,12.0,7.6,1.0
2015-11-13,NOP,TOR,29.663013698630138,0.0,15.483333333333333,1.0,7.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.4,1.0
2015-11-15,NOP,NYK,29.66849315068493,0.0,10.766666666666667,0.0,3.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,3.9,0.0
2015-11-17,NOP,DEN,29.673972602739727,0.0,17.366666666666667,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,6.0,3.6,9.0
2015-11-18,NOP,OKC,29.676712328767124,0.0,14.483333333333333,3.0,6.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,8.0,4.3,0.0
2015-11-20,NOP,SAS,29.682191780821917,0.0,12.2,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,10.0
2015-11-22,NOP,PHO,29.687671232876713,0.0,5.266666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.1,0.0
2015-11-25,NOP,PHO,29.695890410958903,0.0,10.266666666666667,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.3,0.0
2015-11-27,NOP,LAC,29.7013698630137,0.0,23.716666666666665,4.0,11.0,0.364,1.0,4.0,0.25,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,4.0,11.0,6.4,0.0
2015-11-28,NOP,UTA,29.704109589041096,0.0,15.75,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,8.0,6.6,0.0
2015-12-02,NOP,HOU,29.715068493150685,0.0,8.283333333333333,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,1.1,0.0
