date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,HOU,DEN,30.328767123287673,1.0,33.166666666666664,2.0,10.0,0.2,1.0,7.0,0.143,1.0,2.0,0.5,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,6.0,1.0,-14.0
2015-10-30,HOU,GSW,30.334246575342465,1.0,29.683333333333334,3.0,9.0,0.333,2.0,4.0,0.5,3.0,3.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,1.0,11.0,7.1,-16.0
2015-11-01,HOU,MIA,30.339726027397262,1.0,40.78333333333333,3.0,13.0,0.231,3.0,8.0,0.375,0.0,0.0,0.0,0.0,7.0,7.0,4.0,3.0,0.0,2.0,2.0,9.0,6.2,-12.0
2015-11-02,HOU,OKC,30.34246575342466,1.0,36.03333333333333,3.0,8.0,0.375,1.0,4.0,0.25,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,3.0,9.0,7.4,12.0
2015-11-04,HOU,ORL,30.34794520547945,1.0,41.36666666666667,6.0,11.0,0.545,4.0,7.0,0.571,3.0,4.0,0.75,0.0,7.0,7.0,2.0,3.0,0.0,3.0,3.0,19.0,15.6,7.0
2015-11-06,HOU,SAC,30.353424657534248,1.0,37.333333333333336,6.0,13.0,0.462,4.0,8.0,0.5,2.0,2.0,1.0,1.0,7.0,8.0,1.0,2.0,0.0,1.0,4.0,18.0,14.2,27.0
2015-11-07,HOU,LAC,30.356164383561644,1.0,39.45,1.0,8.0,0.125,0.0,5.0,0.0,4.0,4.0,1.0,1.0,6.0,7.0,3.0,1.0,1.0,0.0,4.0,6.0,5.5,-5.0
2015-11-11,HOU,BRK,30.367123287671234,1.0,32.43333333333333,5.0,14.0,0.357,1.0,6.0,0.167,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,11.0,6.0,-2.0
2015-11-13,HOU,DEN,30.372602739726027,1.0,38.166666666666664,4.0,12.0,0.333,2.0,7.0,0.286,3.0,4.0,0.75,0.0,3.0,3.0,3.0,2.0,0.0,1.0,2.0,13.0,9.0,2.0
2015-11-14,HOU,DAL,30.375342465753423,1.0,24.616666666666667,1.0,8.0,0.125,1.0,7.0,0.143,1.0,2.0,0.5,1.0,5.0,6.0,2.0,3.0,0.0,1.0,5.0,4.0,2.0,-3.0
2015-11-16,HOU,BOS,30.38082191780822,1.0,31.633333333333333,7.0,16.0,0.438,4.0,10.0,0.4,1.0,1.0,1.0,1.0,8.0,9.0,0.0,3.0,1.0,4.0,2.0,19.0,12.6,-23.0
2015-11-18,HOU,POR,30.386301369863013,1.0,37.083333333333336,6.0,18.0,0.333,4.0,12.0,0.333,2.0,2.0,1.0,2.0,6.0,8.0,2.0,1.0,0.0,3.0,2.0,18.0,9.6,0.0
2015-11-20,HOU,MEM,30.39178082191781,1.0,35.36666666666667,7.0,10.0,0.7,2.0,5.0,0.4,3.0,5.0,0.6,0.0,4.0,4.0,1.0,3.0,1.0,4.0,5.0,19.0,13.6,-9.0
2015-11-21,HOU,NYK,30.394520547945206,1.0,36.8,3.0,8.0,0.375,1.0,5.0,0.2,3.0,5.0,0.6,0.0,5.0,5.0,3.0,0.0,0.0,1.0,3.0,10.0,6.2,0.0
2015-11-25,HOU,MEM,30.405479452054795,1.0,39.46666666666667,2.0,10.0,0.2,0.0,5.0,0.0,4.0,4.0,1.0,1.0,11.0,12.0,3.0,2.0,0.0,5.0,4.0,8.0,3.3,0.0
2015-11-27,HOU,PHI,30.410958904109588,1.0,35.95,4.0,7.0,0.571,2.0,3.0,0.667,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,1.0,12.0,9.6,0.0
2015-11-29,HOU,NYK,30.416438356164385,1.0,41.11666666666667,7.0,11.0,0.636,2.0,4.0,0.5,0.0,0.0,0.0,3.0,4.0,7.0,1.0,2.0,0.0,0.0,2.0,16.0,16.3,0.0
2015-11-30,HOU,DET,30.41917808219178,1.0,35.916666666666664,1.0,9.0,0.111,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,2.0,3.0,2.0,-3.8,0.0
2015-12-02,HOU,NOP,30.424657534246574,1.0,32.016666666666666,5.0,11.0,0.455,2.0,5.0,0.4,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,13.0,7.9,0.0
2015-12-04,HOU,DAL,30.43013698630137,1.0,38.65,7.0,10.0,0.7,4.0,7.0,0.571,0.0,4.0,0.0,0.0,6.0,6.0,1.0,4.0,1.0,3.0,2.0,18.0,15.6,0.0
2015-12-05,HOU,SAC,30.432876712328767,1.0,36.9,4.0,14.0,0.286,3.0,9.0,0.333,1.0,2.0,0.5,2.0,4.0,6.0,3.0,3.0,0.0,0.0,1.0,12.0,10.7,0.0
2015-12-08,HOU,BRK,30.44109589041096,1.0,3.8333333333333335,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3,0.0
2015-12-12,HOU,LAL,30.45205479452055,1.0,28.133333333333333,1.0,7.0,0.143,1.0,6.0,0.167,2.0,2.0,1.0,0.0,5.0,5.0,6.0,3.0,0.0,2.0,2.0,5.0,6.4,0.0
2015-12-14,HOU,DEN,30.457534246575342,1.0,42.06666666666667,6.0,12.0,0.5,4.0,9.0,0.444,0.0,0.0,0.0,0.0,5.0,5.0,4.0,3.0,0.0,2.0,2.0,16.0,14.5,0.0
2015-12-15,HOU,SAC,30.46027397260274,1.0,33.333333333333336,3.0,10.0,0.3,2.0,8.0,0.25,2.0,2.0,1.0,1.0,5.0,6.0,2.0,3.0,0.0,0.0,2.0,10.0,10.0,0.0
2015-12-17,HOU,LAL,30.465753424657535,1.0,35.63333333333333,5.0,10.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,2.0,3.0,5.0,4.0,3.0,0.0,0.0,2.0,13.0,15.3,25.0
