date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-30,MIA,CLE,23.482191780821918,0.0,1.4666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2015-11-01,MIA,HOU,23.487671232876714,0.0,21.2,5.0,7.0,0.714,1.0,2.0,0.5,0.0,1.0,0.0,3.0,5.0,8.0,3.0,1.0,1.0,0.0,0.0,11.0,15.1,25.0
2015-11-03,MIA,ATL,23.493150684931507,0.0,20.6,3.0,6.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,7.0,5.9,-7.0
2015-11-05,MIA,MIN,23.4986301369863,0.0,25.433333333333334,2.0,4.0,0.5,1.0,2.0,0.5,3.0,4.0,0.75,1.0,3.0,4.0,3.0,0.0,0.0,1.0,5.0,8.0,6.3,-6.0
2015-11-06,MIA,IND,23.5013698630137,0.0,18.816666666666666,2.0,5.0,0.4,1.0,2.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,6.0,3.8,2.0
2015-11-08,MIA,TOR,23.506849315068493,0.0,22.766666666666666,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,4.0,10.0,7.1,14.0
2015-11-10,MIA,LAL,23.512328767123286,0.0,28.8,3.0,9.0,0.333,0.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,9.0,6.3,-10.0
2015-11-12,MIA,UTA,23.517808219178082,0.0,29.483333333333334,8.0,12.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,17.0,13.7,4.0
2015-11-17,MIA,MIN,23.53150684931507,0.0,18.4,1.0,6.0,0.167,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,-0.9,-8.0
2015-11-19,MIA,SAC,23.536986301369865,0.0,25.066666666666666,6.0,8.0,0.75,3.0,4.0,0.75,4.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,19.0,18.8,8.0
2015-11-21,MIA,PHI,23.542465753424658,0.0,17.316666666666666,2.0,6.0,0.333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,-0.2,0.0
2015-11-23,MIA,NYK,23.54794520547945,0.0,20.583333333333332,3.0,5.0,0.6,1.0,1.0,1.0,5.0,6.0,0.833,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,12.0,12.4,16.0
2015-11-25,MIA,DET,23.553424657534247,0.0,22.15,3.0,8.0,0.375,0.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,8.0,5.2,0.0
2015-11-27,MIA,NYK,23.55890410958904,0.0,20.366666666666667,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,6.0,3.3,0.0
2015-11-30,MIA,BOS,23.567123287671233,0.0,19.666666666666668,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,10.0,9.8,0.0
2015-12-03,MIA,OKC,23.575342465753426,0.0,17.883333333333333,3.0,5.0,0.6,0.0,0.0,0.0,2.0,3.0,0.667,1.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,8.0,8.9,0.0
2015-12-05,MIA,CLE,23.58082191780822,0.0,29.533333333333335,6.0,10.0,0.6,2.0,5.0,0.4,5.0,6.0,0.833,0.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,19.0,15.8,0.0
2015-12-07,MIA,WAS,23.586301369863016,0.0,22.716666666666665,1.0,4.0,0.25,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0
2015-12-09,MIA,CHO,23.59178082191781,0.0,29.066666666666666,6.0,12.0,0.5,1.0,5.0,0.2,7.0,8.0,0.875,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,20.0,13.9,0.0
2015-12-16,MIA,BRK,23.610958904109587,0.0,5.233333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,3.0
