date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,LAC,SAC,28.2986301369863,0.0,10.6,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,-8.0
2015-10-29,LAC,DAL,28.301369863013697,0.0,21.783333333333335,3.0,7.0,0.429,0.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,1.0,0.0,2.0,6.0,4.7,4.0
2015-10-31,LAC,SAC,28.306849315068494,0.0,11.4,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-2.3,-10.0
2015-11-02,LAC,PHO,28.312328767123287,0.0,14.05,4.0,5.0,0.8,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,7.6,15.0
2015-11-04,LAC,GSW,28.317808219178083,0.0,10.4,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.2,-11.0
2015-11-07,LAC,HOU,28.326027397260273,0.0,9.3,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,6.0,-1.0
2015-11-09,LAC,MEM,28.33150684931507,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2015-11-11,LAC,DAL,28.336986301369862,0.0,13.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,6.6,4.0
2015-11-12,LAC,PHO,28.339726027397262,0.0,24.2,5.0,11.0,0.455,3.0,6.0,0.5,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0,14.0,8.0,4.0
2015-11-14,LAC,DET,28.345205479452055,0.0,13.016666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.8,-3.0
2015-11-19,LAC,GSW,28.35890410958904,0.0,16.116666666666667,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,7.0,6.3,-4.0
2015-11-20,LAC,POR,28.361643835616437,0.0,22.033333333333335,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,4.0,3.3,3.0
2015-11-22,LAC,TOR,28.367123287671234,0.0,18.133333333333333,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,8.0,4.6,3.0
2015-11-24,LAC,DEN,28.372602739726027,1.0,24.55,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,5.0,11.0,8.4,13.0
2015-11-25,LAC,UTA,28.375342465753423,1.0,19.7,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,-5.3,0.0
2015-11-27,LAC,NOP,28.38082191780822,1.0,14.2,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,-1.4,0.0
2015-11-29,LAC,MIN,28.386301369863013,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2015-11-30,LAC,POR,28.389041095890413,0.0,4.683333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.3,0.0
2015-12-02,LAC,IND,28.394520547945206,0.0,9.433333333333334,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,2.2,0.0
2015-12-05,LAC,ORL,28.4027397260274,0.0,35.65,6.0,12.0,0.5,6.0,12.0,0.5,3.0,5.0,0.6,1.0,6.0,7.0,2.0,2.0,1.0,1.0,2.0,21.0,19.0,0.0
2015-12-07,LAC,MIN,28.40821917808219,0.0,22.05,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,10.0,10.7,0.0
2015-12-09,LAC,MIL,28.413698630136988,0.0,18.533333333333335,3.0,9.0,0.333,0.0,5.0,0.0,1.0,3.0,0.333,0.0,3.0,3.0,0.0,4.0,2.0,0.0,0.0,7.0,7.4,0.0
2015-12-10,LAC,CHI,28.416438356164385,0.0,15.35,3.0,6.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0
2015-12-12,LAC,BRK,28.421917808219177,0.0,18.016666666666666,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.2,0.0
2015-12-14,LAC,DET,28.427397260273974,0.0,29.733333333333334,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,3.0,5.0,4.0,0.0
2015-12-16,LAC,MIL,28.432876712328767,0.0,13.083333333333334,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,-2.9,1.0
2015-12-18,LAC,SAS,28.438356164383563,0.0,14.783333333333333,2.0,4.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,7.0,5.9,0.0
