date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,DEN,HOU,24.80821917808219,0.0,19.566666666666666,5.0,10.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,11.0,8.6,2.0
2015-10-30,DEN,MIN,24.813698630136987,0.0,29.683333333333334,4.0,14.0,0.286,1.0,4.0,0.25,5.0,6.0,0.833,1.0,3.0,4.0,1.0,2.0,1.0,0.0,4.0,14.0,8.8,-7.0
2015-11-01,DEN,OKC,24.81917808219178,0.0,24.25,6.0,12.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,15.0,12.2,4.0
2015-11-03,DEN,LAL,24.824657534246576,0.0,21.466666666666665,3.0,6.0,0.5,0.0,2.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,10.0,10.2,3.0
2015-11-05,DEN,UTA,24.83013698630137,0.0,20.266666666666666,3.0,7.0,0.429,0.0,2.0,0.0,6.0,6.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,12.0,11.9,-5.0
2015-11-06,DEN,GSW,24.832876712328765,1.0,39.15,7.0,16.0,0.438,2.0,4.0,0.5,3.0,3.0,1.0,0.0,8.0,8.0,5.0,2.0,1.0,3.0,2.0,19.0,15.4,-3.0
2015-11-09,DEN,POR,24.84109589041096,0.0,23.033333333333335,4.0,7.0,0.571,1.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,11.0,7.9,6.0
2015-11-11,DEN,MIL,24.846575342465755,0.0,17.1,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,6.0,3.2,-1.0
2015-11-13,DEN,HOU,24.852054794520548,0.0,30.716666666666665,8.0,14.0,0.571,4.0,5.0,0.8,6.0,7.0,0.857,0.0,5.0,5.0,1.0,2.0,0.0,2.0,0.0,26.0,21.2,8.0
2015-11-14,DEN,PHO,24.854794520547944,0.0,36.583333333333336,8.0,16.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,1.0,11.0,12.0,4.0,2.0,1.0,1.0,1.0,19.0,19.1,-16.0
2015-11-17,DEN,NOP,24.863013698630137,0.0,37.266666666666666,7.0,12.0,0.583,3.0,4.0,0.75,0.0,0.0,0.0,2.0,5.0,7.0,2.0,1.0,2.0,1.0,1.0,17.0,16.7,11.0
2015-11-18,DEN,SAS,24.865753424657534,0.0,21.666666666666668,4.0,10.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,5.0,1.0,1.0,0.0,1.0,9.0,9.6,0.0
2015-11-20,DEN,PHO,24.87123287671233,0.0,25.516666666666666,5.0,10.0,0.5,1.0,4.0,0.25,3.0,3.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,14.0,12.8,0.0
2015-11-22,DEN,GSW,24.876712328767123,0.0,27.483333333333334,7.0,10.0,0.7,0.0,1.0,0.0,5.0,5.0,1.0,1.0,5.0,6.0,3.0,1.0,1.0,4.0,0.0,19.0,16.8,0.0
2015-11-24,DEN,LAC,24.882191780821916,0.0,19.616666666666667,0.0,6.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,-5.5,-13.0
2015-11-27,DEN,SAS,24.89041095890411,0.0,29.466666666666665,5.0,10.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,2.0,7.0,9.0,2.0,2.0,0.0,5.0,0.0,12.0,8.5,0.0
2015-11-28,DEN,DAL,24.893150684931506,0.0,30.25,4.0,13.0,0.308,4.0,8.0,0.5,2.0,2.0,1.0,1.0,7.0,8.0,4.0,1.0,1.0,2.0,1.0,14.0,11.4,0.0
2015-11-30,DEN,MIL,24.898630136986302,0.0,29.533333333333335,4.0,8.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,2.0,2.0,10.0,5.7,0.0
2015-12-02,DEN,CHI,24.904109589041095,0.0,26.933333333333334,6.0,12.0,0.5,1.0,3.0,0.333,3.0,4.0,0.75,1.0,7.0,8.0,2.0,0.0,0.0,0.0,2.0,16.0,13.0,0.0
2015-12-03,DEN,TOR,24.90684931506849,0.0,31.3,6.0,13.0,0.462,3.0,6.0,0.5,7.0,7.0,1.0,1.0,3.0,4.0,4.0,0.0,1.0,2.0,4.0,22.0,16.8,0.0
2015-12-05,DEN,PHI,24.912328767123288,0.0,33.4,5.0,11.0,0.455,1.0,5.0,0.2,5.0,6.0,0.833,0.0,9.0,9.0,1.0,1.0,0.0,2.0,0.0,16.0,12.3,0.0
2015-12-08,DEN,ORL,24.92054794520548,0.0,37.53333333333333,9.0,23.0,0.391,3.0,10.0,0.3,2.0,4.0,0.5,0.0,4.0,4.0,1.0,4.0,1.0,1.0,3.0,23.0,14.1,0.0
2015-12-11,DEN,MIN,24.92876712328767,0.0,34.56666666666667,6.0,14.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,0.0,9.0,9.0,3.0,2.0,0.0,2.0,2.0,13.0,9.6,0.0
2015-12-14,DEN,HOU,24.936986301369863,0.0,33.11666666666667,8.0,18.0,0.444,2.0,6.0,0.333,5.0,5.0,1.0,2.0,7.0,9.0,3.0,3.0,0.0,2.0,1.0,23.0,19.8,0.0
2015-12-15,DEN,MIN,24.93972602739726,0.0,30.516666666666666,5.0,11.0,0.455,1.0,2.0,0.5,3.0,4.0,0.75,2.0,5.0,7.0,5.0,0.0,0.0,3.0,3.0,14.0,10.1,0.0
2015-12-18,DEN,UTA,24.947945205479453,0.0,23.316666666666666,5.0,13.0,0.385,1.0,6.0,0.167,5.0,6.0,0.833,0.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,16.0,9.0,0.0
